# band  T60_single(doc)  early  late  knee_dB knee_t
125 4.410 4.527 3.780 -22.8 1.368
180 4.170 4.014 4.169 -21.1 1.114
250 3.970 4.039 3.430 -26.1 1.432
355 3.570 3.810 3.811 -17.3 0.734
500 3.340 3.389 3.588 -20.1 0.814
710 3.090 3.056 3.331 -20.1 0.754
1000 2.930 2.916 3.072 -22.0 0.810
1400 2.670 2.698 2.855 -26.9 0.964
2000 2.380 2.201 2.451 -11.5 0.248
2800 2.270 2.233 2.350 -18.8 0.508
4000 2.060 2.032 2.249 -21.7 0.558
5600 1.800 1.825 2.150 -25.4 0.616
8000 1.660 1.641 2.084 -24.5 0.536
11000 1.630 1.496 2.379 -24.9 0.498
